h,t,m
48000.0,46.68053,0.0412859
48000.0,47.19645,0.04061497
48000.0,47.69238,0.03997352
48000.0,48.20089,0.03933406
48000.0,48.69993,0.03871072
48000.0,49.18528,0.0381241
48000.0,49.68179,0.03750953
48000.0,50.20275,0.03693469
48000.0,50.83442,0.03622669
48000.0,51.22802,0.03579642
48000.0,51.69109,0.03531363
48000.0,52.2085,0.03476565
48000.0,52.67817,0.03433388
48000.0,53.19283,0.03365172
48000.0,53.67825,0.03333386
48000.0,54.19456,0.03287112
48000.0,54.70047,0.03241887
48000.0,55.19005,0.03195626
48000.0,55.67542,0.0315466
48000.0,56.21519,0.03108061
48000.0,56.69074,0.03068704
48000.0,57.20326,0.0302533
48000.0,57.69376,0.0298809
48000.0,58.18363,0.02948291
48000.0,58.69048,0.02910539
48000.0,59.19664,0.02874104
48000.0,59.69719,0.02838272
48000.0,59.99577,0.02814709
46000.0,10.00204,0.07214981
46000.0,10.68157,0.07213703
46000.0,11.17689,0.07212355
46000.0,11.6791,0.07211398
46000.0,12.14816,0.07211009
46000.0,12.70404,0.07210204
46000.0,13.20468,0.07208261
46000.0,13.68328,0.07206547
46000.0,14.20996,0.07206748
46000.0,14.68707,0.07204542
46000.0,15.19921,0.07203411
46000.0,15.69116,0.07201339
46000.0,16.22785,0.07199527
46000.0,16.70853,0.07196478
46000.0,17.18581,0.07194804
46000.0,17.68222,0.07190958
46000.0,18.18279,0.07189065
46000.0,18.70421,0.07184694
46000.0,19.21523,0.07179654
46000.0,19.70716,0.07176133
46000.0,20.21387,0.07169683
46000.0,20.70152,0.07164657
46000.0,21.21653,0.07157899
46000.0,21.70343,0.07152224
46000.0,22.18276,0.07144511
46000.0,22.67757,0.0713741
46000.0,23.17828,0.07130901
46000.0,23.68507,0.07121047
46000.0,24.19793,0.07111794
46000.0,24.69122,0.07101947
46000.0,25.19883,0.07091104
46000.0,25.69935,0.07080742
46000.0,26.20195,0.07068528
46000.0,26.71077,0.07057016
46000.0,27.18946,0.0704411
46000.0,27.70556,0.07031742
46000.0,28.18591,0.0701708
46000.0,28.69058,0.07002386
46000.0,29.19906,0.06987604
46000.0,29.69746,0.06970091
46000.0,30.19164,0.06955095
46000.0,30.84227,0.06943165
46000.0,31.23495,0.06919272
46000.0,31.69646,0.06903719
46000.0,32.20423,0.06884402
46000.0,32.70787,0.06865171
46000.0,33.19533,0.06845049
46000.0,33.68945,0.06824174
46000.0,34.18613,0.0680306
46000.0,34.68847,0.06780215
46000.0,35.18701,0.06756921
46000.0,35.6918,0.06731659
46000.0,36.18398,0.06707407
46000.0,36.70892,0.06678715
46000.0,37.20946,0.06650116
46000.0,37.69717,0.06620771
46000.0,38.19717,0.06589237
46000.0,38.68402,0.0655079
46000.0,39.18946,0.06491159
46000.0,39.68349,0.06403528
46000.0,40.18341,0.06284428
46000.0,40.70139,0.05789575
46000.0,41.19365,0.05325565
46000.0,41.69706,0.04986336
46000.0,42.17958,0.04750365
46000.0,42.69402,0.04628584
46000.0,43.17383,0.0453819
46000.0,43.68046,0.04450654
46000.0,44.1881,0.04367965
46000.0,44.68004,0.04293614
46000.0,45.18256,0.04217532
46000.0,45.69042,0.04146587
46000.0,46.19977,0.04074616
46000.0,46.69586,0.04009918
46000.0,47.19147,0.03943789
46000.0,47.69573,0.03880208
46000.0,48.19658,0.03818865
46000.0,48.69039,0.03758535
46000.0,49.18707,0.03697781
46000.0,49.69352,0.03637766
46000.0,50.18904,0.03591825
46000.0,50.80732,0.0351345
46000.0,51.17896,0.03472662
46000.0,51.71132,0.03417332
46000.0,52.2094,0.03367249
46000.0,52.69315,0.03319885
46000.0,53.17461,0.03274533
46000.0,53.69167,0.03226703
46000.0,54.20085,0.03178257
46000.0,54.67924,0.03135859
46000.0,55.18576,0.03092244
46000.0,55.71597,0.03047745
46000.0,56.19735,0.03006948
46000.0,56.67941,0.02966846
46000.0,57.17916,0.02927089
46000.0,57.69966,0.02888039
46000.0,58.18359,0.0285031
46000.0,58.67242,0.02813451
46000.0,59.17718,0.02778114
46000.0,59.6958,0.02739387
46000.0,59.99826,0.0271799
44000.0,10.00053,0.07212967
44000.0,10.71086,0.07211109
44000.0,11.19291,0.07210563
44000.0,11.66873,0.07209501
44000.0,12.16868,0.07207889
44000.0,12.68003,0.07207093
44000.0,13.19612,0.07206583
44000.0,13.70306,0.07206113
44000.0,14.20803,0.07204462
44000.0,14.70852,0.07201737
44000.0,15.21066,0.07199984
44000.0,15.69254,0.07199247
44000.0,16.19279,0.07195878
44000.0,16.69606,0.07194081
44000.0,17.19779,0.07191855
44000.0,17.7154,0.07188495
44000.0,18.20194,0.07185329
44000.0,18.67102,0.07181454
44000.0,19.21994,0.07176001
44000.0,19.70628,0.07171686
44000.0,20.20638,0.07166611
44000.0,20.68546,0.07160589
44000.0,21.19338,0.07154701
44000.0,21.70002,0.07146826
44000.0,22.20141,0.07141218
44000.0,22.70623,0.07132927
44000.0,23.19978,0.07124728
44000.0,23.66401,0.07115601
44000.0,24.19474,0.07105126
44000.0,24.68321,0.07097912
44000.0,25.20434,0.07085495
44000.0,25.69493,0.07073528
44000.0,26.20127,0.07061607
44000.0,26.70397,0.07049551
44000.0,27.19426,0.07034844
44000.0,27.69519,0.07022296
44000.0,28.19848,0.07007622
44000.0,28.70192,0.06992557
44000.0,29.19471,0.06978519
44000.0,29.69386,0.06960808
44000.0,30.19489,0.06944837
44000.0,30.8115,0.06925003
44000.0,31.19318,0.06910645
44000.0,31.68133,0.06883048
44000.0,32.20302,0.06871422
44000.0,32.68784,0.06851605
44000.0,33.22021,0.06830276
44000.0,33.69444,0.06809846
44000.0,34.20714,0.06787253
44000.0,34.70856,0.06763281
44000.0,35.20823,0.06738625
44000.0,35.70273,0.06714276
44000.0,36.20988,0.06687571
44000.0,36.69039,0.06661199
44000.0,37.19965,0.0663076
44000.0,37.69157,0.06601453
44000.0,38.1932,0.0656636
44000.0,38.69447,0.06520382
44000.0,39.21679,0.06438012
44000.0,39.69931,0.06342974
44000.0,40.20141,0.06052665
44000.0,40.70265,0.05428312
44000.0,41.17232,0.05067405
44000.0,41.67525,0.04758145
44000.0,42.19305,0.04596914
44000.0,42.69057,0.04495831
44000.0,43.20617,0.04404958
44000.0,43.70044,0.04320179
44000.0,44.18002,0.04243495
44000.0,44.70982,0.04163517
44000.0,45.17873,0.04093641
44000.0,45.70822,0.04020394
44000.0,46.19888,0.03952182
44000.0,46.69265,0.03887122
44000.0,47.18419,0.03823065
44000.0,47.70998,0.03758821
44000.0,48.2077,0.03697669
44000.0,48.70858,0.0363685
44000.0,49.19064,0.03579561
44000.0,49.69531,0.03520988
44000.0,50.20267,0.03464557
44000.0,50.78413,0.03401124
44000.0,51.19885,0.0335597
44000.0,51.6931,0.03306203
44000.0,52.21238,0.03254501
44000.0,52.69502,0.03226008
44000.0,53.19183,0.03161311
44000.0,53.70916,0.03113106
44000.0,54.16846,0.03074655
44000.0,54.66859,0.03026519
44000.0,55.19437,0.02982214
44000.0,55.69405,0.02941279
44000.0,56.19617,0.029011
44000.0,56.72124,0.02859033
44000.0,57.18607,0.02823264
44000.0,57.73234,0.02780352
44000.0,58.18359,0.02746573
44000.0,58.69051,0.02709809
44000.0,59.1833,0.02675163
44000.0,59.69957,0.02640442
44000.0,59.98953,0.02603939
42000.0,10.00064,0.07208529
42000.0,10.68203,0.07207656
42000.0,11.18459,0.07206404
42000.0,11.66706,0.07206229
42000.0,12.17468,0.07205358
42000.0,12.73316,0.07203475
42000.0,13.20081,0.07202657
42000.0,13.6881,0.07201343
42000.0,14.18568,0.07199936
42000.0,14.68255,0.07198496
42000.0,15.19753,0.0719625
42000.0,15.70113,0.07194088
42000.0,16.1796,0.07193028
42000.0,16.69503,0.07190066
42000.0,17.21753,0.07186753
42000.0,17.68473,0.07193808
42000.0,18.18699,0.07180385
42000.0,18.67473,0.07178578
42000.0,19.20129,0.07170481
42000.0,19.68631,0.07166531
42000.0,20.17944,0.07161792
42000.0,20.69503,0.07155294
42000.0,21.18003,0.07148581
42000.0,21.69837,0.07142658
42000.0,22.20635,0.07133244
42000.0,22.68561,0.07126625
42000.0,23.19207,0.07118664
42000.0,23.69304,0.0710915
42000.0,24.18699,0.07098342
42000.0,24.70958,0.07088141
42000.0,25.20319,0.07077398
42000.0,25.68849,0.07066237
42000.0,26.1996,0.07054495
42000.0,26.701,0.07038995
42000.0,27.17685,0.07029158
42000.0,27.71301,0.07013486
42000.0,28.21521,0.06998027
42000.0,28.71037,0.06983034
