Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,Unnamed: 30
1627022673.44,,50000.0,28.20377,0.06523071,0.0,3,0.997493,0.0,,,,,,,,,,,,,,32,1,4.0,0.4068508,0.0,0,1,0,
1627022716.229,,50000.0,28.70483,0.06509456,0.0,3,0.9974664,0.0,,,,,,,,,,,,,,32,1,4.0,0.3715916,0.0,0,1,0,
1627022759.925,,50000.0,29.20702,0.06495292,0.0,3,0.9976107,0.0,,,,,,,,,,,,,,32,1,4.0,0.3636799,0.0,0,1,0,
1627022803.773,,50000.0,29.68212,0.06479878,0.0,3,0.9975159,0.0,,,,,,,,,,,,,,32,1,4.0,0.3633194,0.0,0,1,0,
1627022851.008,,50000.0,30.21719,0.06462969,0.0,3,0.9974842,0.0,,,,,,,,,,,,,,32,1,4.0,0.3698997,0.0,0,1,0,
1627022908.647,,50000.0,30.84121,0.06441445,0.0,3,0.9973819,0.0,,,,,,,,,,,,,,32,1,4.0,0.3674793,0.0,0,1,0,
1627022943.877,,50000.0,31.26891,0.0641934,0.0,3,0.9971492,0.0,,,,,,,,,,,,,,32,1,4.0,0.4090195,0.0,0,1,0,
1627022981.523,,50000.0,31.69014,0.06412039,0.0,3,0.9973664,0.0,,,,,,,,,,,,,,32,1,4.0,0.3784695,0.0,0,1,0,
1627023026.515,,50000.0,32.19136,0.06392775,0.0,3,0.9975793,0.0,,,,,,,,,,,,,,32,1,4.0,0.3703613,0.0,0,1,0,
1627023073.744,,50000.0,32.73655,0.06373648,0.0,3,0.9974538,0.0,,,,,,,,,,,,,,32,1,4.0,0.3432083,0.0,0,1,0,
1627023119.53,,50000.0,33.19684,0.06353912,0.0,3,0.9974205,0.0,,,,,,,,,,,,,,32,1,4.0,0.3568993,0.0,0,1,0,
1627023162.523,,50000.0,33.68346,0.06334119,0.0,3,0.9974937,0.0,,,,,,,,,,,,,,32,1,4.0,0.32201,0.0,0,1,0,
1627023207.519,,50000.0,34.19228,0.06310529,0.0,3,0.9973016,0.0,,,,,,,,,,,,,,32,1,4.0,0.3719406,0.0,0,1,0,
1627023251.917,,50000.0,34.67328,0.06289803,0.0,3,0.9973249,0.0,,,,,,,,,,,,,,32,1,4.0,0.3199806,0.0,0,1,0,
1627023302.363,,50000.0,35.19016,0.06266055,0.0,3,0.9974886,0.0,,,,,,,,,,,,,,32,1,4.0,0.37146,0.0,0,1,0,
1627023347.406,,50000.0,35.70534,0.06241377,0.0,3,0.9974231,0.0,,,,,,,,,,,,,,32,1,4.0,0.3769875,0.0,0,1,0,
1627023388.372,,50000.0,36.1916,0.0621787,0.0,3,0.9974664,0.0,,,,,,,,,,,,,,32,1,4.0,0.3819084,0.0,0,1,0,
1627023434.206,,50000.0,36.70855,0.06216648,0.0,3,0.9954066,0.0,,,,,,,,,,,,,,32,1,4.0,0.3872795,0.0,0,1,0,
1627023474.877,,50000.0,37.19669,0.06163655,0.0,3,0.9973872,0.0,,,,,,,,,,,,,,32,1,4.0,0.3283195,0.0,0,0,0,
1627023522.56,,50000.0,37.71284,0.06130891,0.0,3,0.9975211,0.0,,,,,,,,,,,,,,32,1,4.0,0.3783989,0.0,0,0,0,
1627023566.776,,50000.0,38.20577,0.06098076,0.0,3,0.9975242,0.0,,,,,,,,,,,,,,32,1,4.0,0.3903694,0.0,0,0,0,
